ts,o,h,l,c,v
1709564400000,3534.17,3568.18,3521.78,3560.42,44048.8711
1709568000000,3560.42,3575.0,3534.65,3549.8,46523.1991
1709571600000,3549.8,3585.34,3528.42,3543.64,58292.8417
1709575200000,3543.64,3597.0,3529.8,3596.41,45948.9035
1709578800000,3596.41,3610.0,3581.52,3593.01,33923.9878
1709582400000,3593.0,3595.99,3573.4,3583.37,23112.3325
1709586000000,3583.38,3593.23,3558.3,3580.4,20094.1304
1709589600000,3580.41,3609.79,3564.31,3608.48,21438.4133
1709593200000,3608.49,3640.94,3606.53,3627.76,34172.5679
1709596800000,3627.75,3635.81,3607.24,3618.94,30449.7764
1709600400000,3618.94,3655.27,3614.71,3642.72,30049.0692
1709604000000,3642.72,3643.38,3607.28,3623.1,23062.6615
1709607600000,3623.09,3697.2,3612.62,3689.81,32050.9823
1709611200000,3689.81,3740.0,3672.06,3695.65,71354.0667
1709614800000,3695.65,3734.21,3641.5,3715.8,87710.1527
1709618400000,3715.8,3727.25,3698.4,3712.25,25350.1719
1709622000000,3712.26,3722.06,3670.81,3672.98,30238.8645
1709625600000,3672.99,3700.0,3651.87,3692.61,33317.611
1709629200000,3692.6,3701.65,3674.0,3688.67,18698.1377
1709632800000,3688.68,3725.03,3688.16,3710.5,20333.3931
1709636400000,3710.5,3742.0,3710.0,3731.45,24208.7197
1709640000000,3731.46,3769.0,3730.8,3759.01,45733.9222
1709643600000,3759.0,3782.03,3751.57,3779.41,37179.7834
1709647200000,3779.4,3806.3,3745.95,3803.95,57543.2736
1709650800000,3803.95,3822.04,3753.46,3783.01,91846.1568
1709654400000,3783.0,3796.07,3664.0,3688.07,115174.6274
1709658000000,3688.06,3688.64,3556.46,3686.51,99730.306
1709661600000,3686.51,3686.52,3590.85,3611.88,47136.7529
1709665200000,3611.88,3626.52,3200.0,3376.46,159403.1988
1709668800000,3376.46,3464.88,3324.68,3387.8,142627.0398
1709672400000,3387.81,3529.61,3385.21,3520.05,91867.0088
1709676000000,3520.05,3527.44,3434.97,3506.51,43540.4554
1709679600000,3506.51,3580.6,3494.6,3553.65,34298.7322
1709683200000,3553.66,3591.23,3545.4,3562.6,34749.3863
1709686800000,3562.6,3583.65,3515.0,3519.02,30506.5016
1709690400000,3519.01,3548.93,3499.4,3502.79,27129.3112
1709694000000,3502.8,3551.6,3500.01,3538.01,23435.5812
1709697600000,3538.01,3653.38,3536.2,3649.28,43237.5617
1709701200000,3649.28,3770.63,3647.0,3769.44,95810.0525
1709704800000,3769.44,3789.0,3747.67,3748.48,55196.9153
1709708400000,3748.49,3789.77,3740.83,3786.6,36493.3187
1709712000000,3786.61,3868.07,3778.6,3825.38,77653.1595
1709715600000,3825.38,3867.27,3788.04,3792.23,41179.4745
1709719200000,3792.23,3842.6,3791.8,3839.8,35942.1788
1709722800000,3839.8,3899.47,3835.49,3879.74,46277.0628
1709726400000,3879.74,3900.0,3755.0,3817.41,68729.1301
1709730000000,3817.42,3845.58,3771.88,3830.77,48306.4603
1709733600000,3830.78,3863.18,3768.93,3781.95,66592.1385
1709737200000,3781.96,3808.7,3724.0,3790.94,50412.0675
1709740800000,3790.95,3822.92,3764.25,3816.01,34889.7408
1709744400000,3816.01,3850.62,3789.72,3847.05,26886.817
